country	country_code	year_week	new_cases	variant	percent_variant	variant_name	number_cases_ratio	population
Belgium	BE	2020-49	15289	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-49	15289	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-50	16840	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-50	16840	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-51	17714	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-51	17714	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-52	12607	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-52	12607	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2020-53	8976	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2020-53	8976	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-01	13692	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-01	13692	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-02	13093	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-02	13093	B.1.617.2	0.4	delta	52.372	11522440.0
Belgium	BE	2021-03	14641	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-03	14641	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-04	16375	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-04	16375	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-05	14892	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-05	14892	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-06	12527	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-06	12527	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-07	15361	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-07	15361	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-08	16648	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-08	16648	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-09	16429	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-09	16429	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-10	21255	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-10	21255	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-11	29329	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-11	29329	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-12	33998	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-12	33998	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-13	29873	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-13	29873	B.1.617.2	0.0	delta	0.0	11522440.0
Belgium	BE	2021-14	24193	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-14	24193	B.1.617.2	0.3	delta	72.57900000000001	11522440.0
Belgium	BE	2021-15	24371	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-15	24371	B.1.617.2	0.3	delta	73.113	11522440.0
Belgium	BE	2021-16	24423	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-16	24423	B.1.617.2	2.4	delta	586.152	11522440.0
Belgium	BE	2021-17	20783	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-17	20783	B.1.617.2	3.5	delta	727.4050000000001	11522440.0
Belgium	BE	2021-18	20975	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-18	20975	B.1.617.2	3.1	delta	650.225	11522440.0
Belgium	BE	2021-19	14649	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-19	14649	B.1.617.2	3.2	delta	468.76800000000003	11522440.0
Belgium	BE	2021-20	16999	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-20	16999	B.1.617.2	5.6	delta	951.9439999999998	11522440.0
Belgium	BE	2021-21	12179	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-21	12179	B.1.617.2	7.4	delta	901.2460000000001	11522440.0
Belgium	BE	2021-22	9065	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-22	9065	B.1.617.2	10.1	delta	915.5649999999999	11522440.0
Belgium	BE	2021-23	5261	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-23	5261	B.1.617.2	17.0	delta	894.3700000000001	11522440.0
Belgium	BE	2021-24	3006	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-24	3006	B.1.617.2	30.0	delta	901.8	11522440.0
Belgium	BE	2021-25	2416	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-25	2416	B.1.617.2	52.9	delta	1278.064	11522440.0
Belgium	BE	2021-26	4070	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-26	4070	B.1.617.2	74.2	delta	3019.94	11522440.0
Belgium	BE	2021-27	7513	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-27	7513	B.1.617.2	81.7	delta	6138.121	11522440.0
Belgium	BE	2021-28	9541	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-28	9541	B.1.617.2	90.4	delta	8625.064	11522440.0
Belgium	BE	2021-29	10388	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-29	10388	B.1.617.2	95.6	delta	9930.928	11522440.0
Belgium	BE	2021-30	11283	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-30	11283	B.1.617.2	97.9	delta	11046.057	11522440.0
Belgium	BE	2021-31	12242	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-31	12242	B.1.617.2	98.8	delta	12095.096	11522440.0
Belgium	BE	2021-32	13352	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-32	13352	B.1.617.2	99.4	delta	13271.888	11522440.0
Belgium	BE	2021-33	13831	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-33	13831	B.1.617.2	99.6	delta	13775.676	11522440.0
Belgium	BE	2021-34	14116	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-34	14116	B.1.617.2	99.3	delta	14017.188	11522440.0
Belgium	BE	2021-35	13761	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-35	13761	B.1.617.2	99.8	delta	13733.478	11522440.0
Belgium	BE	2021-36	13760	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-36	13760	B.1.617.2	99.8	delta	13732.48	11522440.0
Belgium	BE	2021-37	14475	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-37	14475	B.1.617.2	99.5	delta	14402.625	11522440.0
Belgium	BE	2021-38	13647	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-38	13647	B.1.617.2	99.2	delta	13537.824	11522440.0
Belgium	BE	2021-39	13316	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-39	13316	B.1.617.2	98.9	delta	13169.524000000001	11522440.0
Belgium	BE	2021-40	14922	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-40	14922	B.1.617.2	98.8	delta	14742.936	11522440.0
Belgium	BE	2021-41	22871	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-41	22871	B.1.617.2	97.9	delta	22390.709000000003	11522440.0
Belgium	BE	2021-42	40000	B.1.1.529	0.0	omicron	0.0	11522440.0
